country_region_code,country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,workplaces_percent_change_from_baseline
US,United States,Alabama,2/15/2020,5,2
US,United States,Alabama,2/16/2020,0,-1
US,United States,Alabama,2/17/2020,3,-17
US,United States,Alabama,2/18/2020,-4,1
US,United States,Alabama,2/19/2020,4,1
US,United States,Alabama,2/20/2020,-7,0
US,United States,Alabama,2/21/2020,3,1
US,United States,Alabama,2/22/2020,5,6
US,United States,Alabama,2/23/2020,3,2
US,United States,Alabama,2/24/2020,-2,-2
US,United States,Alabama,2/25/2020,7,-1
US,United States,Alabama,2/26/2020,16,0
US,United States,Alabama,2/27/2020,12,2
US,United States,Alabama,2/28/2020,12,1
US,United States,Alabama,2/29/2020,15,5
US,United States,Alabama,3/1/2020,16,4
US,United States,Alabama,3/2/2020,8,2
US,United States,Alabama,3/3/2020,20,2
US,United States,Alabama,3/4/2020,7,0
US,United States,Alabama,3/5/2020,7,2
US,United States,Alabama,3/6/2020,9,2
US,United States,Alabama,3/7/2020,12,7
US,United States,Alabama,3/8/2020,12,3
US,United States,Alabama,3/9/2020,10,2
US,United States,Alabama,3/10/2020,9,1
US,United States,Alabama,3/11/2020,10,1
US,United States,Alabama,3/12/2020,10,1
US,United States,Alabama,3/13/2020,7,-2
US,United States,Alabama,3/14/2020,1,4
US,United States,Alabama,3/15/2020,-7,-4
US,United States,Alabama,3/16/2020,-2,-10
US,United States,Alabama,3/17/2020,-11,-17
US,United States,Alabama,3/18/2020,-13,-22
US,United States,Alabama,3/19/2020,-20,-25
US,United States,Alabama,3/20/2020,-27,-29
US,United States,Alabama,3/21/2020,-35,-16
US,United States,Alabama,3/22/2020,-40,-27
US,United States,Alabama,3/23/2020,-33,-33
US,United States,Alabama,3/24/2020,-32,-34
US,United States,Alabama,3/25/2020,-28,-36
US,United States,Alabama,3/26/2020,-30,-36
US,United States,Alabama,3/27/2020,-30,-37
US,United States,Alabama,3/28/2020,-36,-22
US,United States,Alabama,3/29/2020,-41,-32
US,United States,Alabama,3/30/2020,-33,-38
US,United States,Alabama,3/31/2020,-36,-40
