County Name,State,5/26/2020,5/27/2020,5/28/2020,
Autauga County,AL,186,186,186,0
Baldwin County,AL,279,281,281,2
Barbour County,AL,123,128,128,5
Bibb County,AL,66,71,71,5
Blount County,AL,51,52,60,1
Bullock County,AL,167,167,167,0
Butler County,AL,380,391,392,11
Calhoun County,AL,149,149,149,0
Chambers County,AL,327,351,351,24
Cherokee County,AL,33,33,34,0
Chilton County,AL,90,93,97,3
Choctaw County,AL,146,146,146,0
Clarke County,AL,120,129,129,9
Clay County,AL,27,27,27,0
Cleburne County,AL,13,13,13,0
Coffee County,AL,215,219,224,4
Colbert County,AL,156,161,161,5
Conecuh County,AL,30,35,35,5
Coosa County,AL,34,34,35,0
Covington County,AL,71,75,75,4
Crenshaw County,AL,62,66,70,4
Cullman County,AL,83,88,90,5
Dale County,AL,92,95,99,3
Dallas County,AL,221,230,240,9
DeKalb County,AL,234,240,240,6
Elmore County,AL,293,294,294,1
Escambia County,AL,45,48,48,3
Etowah County,AL,235,235,245,0
Fayette County,AL,12,12,12,0
Franklin County,AL,481,500,514,19
Geneva County,AL,39,39,39,0
Greene County,AL,91,91,92,0
Hale County,AL,135,141,149,6
Henry County,AL,69,71,71,2
Houston County,AL,182,184,187,2
Jackson County,AL,72,74,75,2
Jefferson County,AL,1653,1673,1700,20
Lamar County,AL,21,21,21,0
Lauderdale County,AL,137,146,153,9
Lawrence County,AL,44,46,46,2
Lee County,AL,527,527,539,0
Limestone County,AL,84,86,87,2
Lowndes County,AL,208,217,220,9
Macon County,AL,65,67,71,2
Madison County,AL,306,316,316,10
Marengo County,AL,145,150,151,5
Marion County,AL,116,116,121,0
Marshall County,AL,658,658,658,0
Mobile County,AL,2058,2078,2133,20
Monroe County,AL,34,34,35,0
Montgomery County,AL,1393,1445,1448,52
Morgan County,AL,205,205,205,0
Perry County,AL,35,35,35,0
Pickens County,AL,96,96,103,0
Pike County,AL,159,165,165,6
Randolph County,AL,124,124,125,0
Russell County,AL,143,148,159,5
St. Clair County,AL,106,107,115,1
Shelby County,AL,467,469,483,2
Sumter County,AL,206,209,213,3
Talladega County,AL,94,97,101,3
Tallapoosa County,AL,405,412,418,7
Tuscaloosa County,AL,609,618,618,9
Walker County,AL,275,281,281,6
Washington County,AL,64,64,66,0
Wilcox County,AL,122,130,130,8
Winston County,AL,74,77,77,3
Aleutians East Borough,AK,0,0,0,0
Aleutians West Census Area,AK,0,0,0,0
Municipality of Anchorage,AK,204,204,211,0
Bethel Census Area,AK,2,3,3,1
Bristol Bay Borough,AK,0,0,0,0
Denali Borough,AK,0,0,0,0
Dillingham Census Area,AK,0,0,0,0
Fairbanks North Star Borough,AK,88,88,88,0
Haines Borough,AK,0,0,0,0
Hoonah-Angoon Census Area,AK,0,0,0,0
City and Borough of Juneau,AK,31,31,31,0
Kenai Peninsula Borough,AK,27,27,30,0
Ketchikan Gateway Borough,AK,15,15,15,0
Kodiak Island Borough,AK,1,1,1,0
Kusilvak Census Area,AK,0,0,0,0
Lake and Peninsula Borough,AK,0,0,0,0
Matanuska-Susitna Borough,AK,24,24,24,0
Nome Census Area,AK,3,3,3,0
North Slope Borough,AK,0,0,0,0
Northwest Arctic Borough,AK,2,2,2,0
Petersburg Census Area,AK,4,4,4,0
Prince of Wales-Hyder Census Area,AK,2,2,2,0
Sitka City and Borough,AK,1,1,1,0
Skagway Municipality,AK,0,0,0,0
Southeast Fairbanks Census Area,AK,3,3,3,0
Valdez-Cordova Census Area,AK,0,0,0,0
Wade Hampton Census Area,AK,0,0,0,0
Wrangell City and Borough,AK,0,0,0,0
Yakutat City and Borough,AK,0,0,0,0
Yukon-Koyukuk Census Area,AK,1,1,1,0
Apache County,AZ,1217,1248,1285,31
Cochise County,AZ,63,63,68,0
Coconino County,AZ,1049,1065,1080,16
Gila County,AZ,24,25,25,1
Graham County,AZ,23,25,26,2
Greenlee County,AZ,3,3,4,0
La Paz County,AZ,51,53,53,2
Maricopa County,AZ,8484,8669,8892,185
Mohave County,AZ,328,339,341,11
Navajo County,AZ,1565,1636,1636,71
Pima County,AZ,2088,2119,2153,31
Pinal County,AZ,769,775,787,6
Santa Cruz County,AZ,190,190,217,0
Yavapai County,AZ,287,297,297,10
Yuma County,AZ,717,720,720,3
Arkansas County,AR,3,3,3,0
Ashley County,AR,19,19,19,0
Baxter County,AR,8,8,8,0
Benton County,AR,313,334,365,21
Boone County,AR,6,6,6,0
Bradley County,AR,18,18,18,0
Calhoun County,AR,0,0,0,0
Carroll County,AR,17,18,18,1
Chicot County,AR,14,14,15,0
Clark County,AR,38,38,38,0
Clay County,AR,4,4,4,0
Cleburne County,AR,73,73,73,0
Cleveland County,AR,18,18,18,0
Columbia County,AR,20,20,20,0
Conway County,AR,13,13,13,0
Craighead County,AR,191,191,202,0
Crawford County,AR,17,17,17,0
Crittenden County,AR,295,302,313,7
Cross County,AR,46,46,48,0
Dallas County,AR,1,1,1,0
Desha County,AR,19,19,19,0
Drew County,AR,19,19,19,0
Faulkner County,AR,99,99,101,0
Franklin County,AR,4,4,4,0
Fulton County,AR,6,6,7,0
Garland County,AR,134,136,136,2
Grant County,AR,16,17,17,1
Greene County,AR,55,55,60,0
Hempstead County,AR,14,14,14,0
Hot Spring County,AR,30,30,31,0
Howard County,AR,17,17,18,0
Independence County,AR,30,30,30,0
Izard County,AR,15,15,16,0
Jackson County,AR,1,1,1,0
Jefferson County,AR,522,522,522,0
